,호텔명,가격,평점
0,라마다 제주시티 호텔,"69,160",9.3
1,베스트웨스턴 제주,"57,000",9.7
2,랜딩관 제주신화월드 호텔앤리조트,"103,550",9.1
3,금호 제주 리조트,"142,775",9.1
4,그랜드 하얏트 제주,"280,060",9.7
5,롯데 호텔 제주,"278,662",9.7
6,휘닉스 제주 섭지코지,"275,500",9.5
7,브릿지 레지던스 호텔,"34,675",9.8
8,라마다 바이 윈덤 제주 더 함덕 호텔,"71,630",9.1
9,제주 신라 호텔,"344,850",9.8
10,라마다 제주시티 호텔,"69,160",9.3
11,베스트웨스턴 제주,"57,000",9.7
12,랜딩관 제주신화월드 호텔앤리조트,"103,550",9.1
13,금호 제주 리조트,"142,775",9.1
14,그랜드 하얏트 제주,"280,060",9.7
15,롯데 호텔 제주,"278,662",9.7
16,휘닉스 제주 섭지코지,"275,500",9.5
17,브릿지 레지던스 호텔,"34,675",9.8
18,라마다 바이 윈덤 제주 더 함덕 호텔,"71,630",9.1
19,제주 신라 호텔,"344,850",9.8
20,휘슬락 호텔,"66,500",9.4
21,신라스테이 제주,"119,130",9.3
22,서머셋 제주신화월드,"293,550",9.1
23,호텔 브릿지 서귀포,"55,100",9.2
24,메종 글래드 제주,"107,540",9.5
25,제주 부영호텔&리조트,"110,770",9.5
26,신화관 제주신화월드 호텔앤리조트,"170,050",8.6
27,해비치 호텔&리조트,"229,900",9.6
28,제주 한림리조트,"85,500",10
29,호텔 리젠트마린,"76,000",9.5
30,파르나스 호텔 제주,"327,560",10
31,글로스터 호텔 제주,"64,600",9.4
32,브라운 스위트 제주,"58,330",8.9
33,롯데 시티호텔 제주,"131,670",9.7
34,서귀포 칼 호텔,"135,850",9.5
35,유탑유블레스호텔 제주함덕,"98,800",9.7
36,오션 스위츠 제주 호텔,"80,750",9.7
37,더 포 그레이스 리조트,"54,720",8.9
38,제주 항공우주 호텔,"71,250",8.7
39,파크 선샤인 제주,"80,750",9.1
40,코업시티호텔 하버뷰,"57,000",8.7
41,그랜드 조선 제주,"271,700",9.7
42,호텔 골든데이지 서귀포 오션,"49,400",9.2
43,더 베스트 제주 성산,"52,250",9.3
44,호텔 스카이파크 제주 1호점,"56,050",9.4
45,벤티모 호텔 앤 레지던스 제주,"75,050",10
46,히든 클리프 호텔 앤 네이쳐,"191,520",9.1
47,켄싱턴리조트 서귀포,"169,000",8.7
48,코업시티호텔 성산,"65,550",9.3
49,제주 마레보 리조트,"106,400",9.2
50,와이 리조트 제주,"125,400",9.1
51,라마다 프라자 제주,"133,000",9.6
52,아시아호텔 제주,"65,550",9.4
53,빠레브 호텔 제주,"72,200",9.2
54,씨오르 리조트(구 신성리조트),"87,780",9.5
55,소노벨 제주,"200,450",9.6
56,이스턴호텔 제주,"33,250",9
57,호텔 케니 서귀포,"28,975",9
58,메리어트관 제주신화월드 호텔앤리조트,"242,000",9
59,호텔 시리우스 제주,"85,595",9
60,캠퍼트리 호텔&리조트 제주,"161,500",9.4
61,플레이스 캠프 제주,"56,905",9.2
62,애월 스테이 인 제주,"65,550",9.6
63,호텔샬롬 제주,"61,750",9.5
64,산방산호텔,"75,050",10
65,스위트 호텔 제주,"167,200",9.2
66,스위트 메이 호텔 서귀포,"69,350",8.9
67,퍼스트70 호텔,"57,000",9.5
68,더큐브 리조트 제주,"73,150",8.4
69,제주푸른호텔( 구 체이슨 호텔),"52,250",10
70,타마라 호텔 제주,"27,550",9.4
71,한화리조트 제주,"110,200",8.8
72,탐라스테이 제주,"69,967",9.5
73,WE호텔 제주,"185,250",8.9
74,스타즈호텔 제주 로베로,"41,800",9.6
75,제주 팔레스 호텔,"57,000",9.7
76,담앤루리조트,"95,000",8
77,제주 노블피아 호텔,"65,550",8.8
78,제주 아름다운리조트,"57,000",9.4
79,더 그랜드 섬오름,"125,400",9.3
80,제주 유니 호텔,"105,611",8.5
81,제주 헬스케어타운,"199,500",9
82,제주 호텔 더 엠,"37,905",9.6
83,그라벨 호텔,"90,250",9.1
84,제주 센트럴 시티 호텔,"56,050",9.6
85,블루하와이리조트,"61,750",8.7
86,블루하와이호텔,"51,300",9
87,호텔 윈 스카이,"44,650",8.9
88,씨사이드 아덴 중문,"250,800",9.9
89,서귀포 제이에스(JS) 호텔,"59,090",8.8
90,제주 오리엔탈호텔,"83,600",9.4
91,제주 오션그랜드 호텔,"69,350",9.7
92,신신호텔 제주 월드컵,"35,815",8.4
93,신신호텔 제주 공항점,"49,998",9.5
